Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location
PINTO,DOG,PIT BULL,BR BRINDLE/WHITE,Neutered,LARGE,07/27/2016,K19-032986,DA35,A389457,07/16/2019,08/30/2019,45,STRAY,FIELD,TRANSFER,HSSC,HEALTHY,HEALTHY,COUNTY,COUNTY,95407,"95407(38.4127094, -122.7412153)"
,DOG,GERM SHEPHERD,TAN/BLACK,Female,LARGE,11/11/2021,K23-046766,DS80,A422038,11/11/2023,01/08/2024,58,STRAY,FIELD,EUTHANIZE,AGGRESSIVE,UNKNOWN,UNTREATABLE,COUNTY,,,
FAUNA,DOG,GERM SHEPHERD,FAWN,Spayed,SMALL,06/08/2021,K24-047284,DS68,A423685,01/05/2024,01/08/2024,3,STRAY,OVER THE COUNTER,RETURN TO OWNER,,UNKNOWN,HEALTHY,SANTA ROSA,,93927,"93927(36.32153, -121.24627)"
TIMBER,DOG,ALASK MALAMUTE,BLACK/WHITE,Neutered,LARGE,08/21/2016,K23-043867,TRUCK,A391075,02/15/2023,02/15/2023,0,STRAY,FIELD,RETURN TO OWNER,FLD_MCHIP,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.457489, -122.644131)"
RUPI,DOG,RAT TERRIER,BLACK/WHITE,Spayed,SMALL,04/05/2013,K24-048650,DS69,A303391,05/29/2024,05/30/2024,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WALKIN,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95401,"95401(38.445212, -122.745766)"
KIT,DOG,LABRADOR RETR,WHITE,Spayed,LARGE,07/20/2023,K24-048872,DA31,A427252,06/20/2024,07/31/2024,41,STRAY,FLD_STRAY,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,94952,"94952(38.235426, -122.673515)"
GAIA,DOG,CANE CORSO,BLACK,Female,LARGE,11/04/2019,K24-048526,DQ109,A396392,05/16/2024,05/30/2024,14,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_NOTICE,UNKNOWN,PENDING,SANTA ROSA,OUT OF COUNTY,95542,"95542(40.0701018, -123.792313)"
DOBBIE,DOG,NORFOLK TERRIER/MIX,WHITE/BLACK,Male,SMALL,05/10/2020,K24-048439,DQ113,A426322,05/10/2024,05/30/2024,20,STRAY,FLD_STRAY,TRANSFER,HSSC,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95407,"95407(38.4101254, -122.7276168)"
XIPILLI,DOG,FRENCH BULLDOG/MIX,BLACK,Spayed,PUPPY,04/26/2024,K24-049344,FOSTER,A428218,07/17/2024,09/26/2024,71,STRAY,VET_HOSP,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95407,"95407(38.4101254, -122.7276168)"
*TAZ,DOG,GERM SHEPHERD,TAN/BLACK,Neutered,MED,11/03/2023,K24-047916,DA14,A425318,03/18/2024,05/30/2024,73,STRAY,FIELD,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95404,"95404(38.451809, -122.692988)"
*PONG,DOG,PIT BULL/MIX,CHOCOLATE/WHITE,Spayed,SMALL,06/08/2023,K24-047781,DA11,A425058,03/08/2024,05/30/2024,83,STRAY,FIELD,TRANSFER,HSSC,HEALTHY,HEALTHY,COUNTY,COUNTY,95407,"95407(38.4101254, -122.7276168)"
*PIXIE,DOG,CHIHUAHUA LH/MIX,BLACK/TAN,Female,TOY,04/09/2022,K24-048129,SMA,A425747,04/09/2024,05/30/2024,51,STRAY,FLD_STRAY,TRANSFER,HSSC,UNKNOWN,HEALTHY,COUNTY,COUNTY,95407,"95407(38.4101254, -122.7276168)"
*PING,DOG,PIT BULL/MIX,BLACK/WHITE,Spayed,SMALL,06/10/2023,K24-047780,FOSTER,A425057,03/08/2024,05/30/2024,83,STRAY,FIELD,TRANSFER,HSSC,UNKNOWN,HEALTHY,COUNTY,COUNTY,95407,"95407(38.4101254, -122.7276168)"
,DOG,CHIHUAHUA SH,TAN,Male,TOY,04/19/2023,K24-048236,SMA,A425982,04/19/2024,05/30/2024,41,STRAY,FIELD,TRANSFER,HSSC,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95407,"95407(38.4101254, -122.7276168)"
