Sex,TargetMulti,Breed_Frequency,Issterilization,Size_LARGE,Size_MED,Size_PUPPY,Size_SMALL,Size_TOY,Size_X-LRG,Intake_Condition_HEALTHY,Intake_Condition_TREATABLE/MANAGEABLE,Intake_Condition_TREATABLE/REHAB,Intake_Condition_UNKNOWN,Intake_Condition_UNTREATABLE,Grouped_Color_Brindle/Patterned/Tricolor,Grouped_Color_Brown,Grouped_Color_Monochrome,Grouped_Color_Other,Age_log,daysShel_log
0,3,1694,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.3862943611198906,3.828641396489095
1,1,819,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0986122886681098,4.07753744390572
1,2,819,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1.0986122886681098,1.3862943611198906
0,2,11,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.9459101490553132,0.0
1,2,21,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2.4849066497880004,0.6931471805599453
1,0,453,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.6931471805599453,3.7376696182833684
1,2,14,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.6094379124341003,2.70805020110221
0,3,6,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1.6094379124341003,3.044522437723423
1,0,24,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0.0,4.276666119016055
0,0,819,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,4.30406509320417
1,3,833,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.0,4.430816798843313
1,3,73,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1.0986122886681098,3.9512437185814275
1,3,833,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,4.430816798843313
0,3,1080,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.6931471805599453,3.7376696182833684
0,2,1694,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2.0794415416798357,1.0986122886681098
1,0,819,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.6931471805599453,5.365976015021851
1,2,93,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2.302585092994046,0.0
0,2,833,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0.0,1.0986122886681098
1,0,28,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.0,3.258096538021482
1,2,445,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0986122886681098,1.3862943611198906
0,2,445,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2.302585092994046,0.6931471805599453
1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2.1972245773362196,1.3862943611198906
1,2,26,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2.3978952727983707,1.0986122886681098
0,1,1694,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6931471805599453,3.4657359027997265
0,2,819,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.6931471805599453
1,0,411,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.6931471805599453,4.127134385045092
0,0,1694,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1.791759469228055,4.736198448394496
0,2,143,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,4.795790545596741
0,2,23,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1.3862943611198906,1.6094379124341003
0,2,66,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1.6094379124341003,0.0
0,2,32,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.6931471805599453
1,1,1080,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.6931471805599453,2.6390573296152584
0,2,453,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1.6094379124341003,1.3862943611198906
0,2,32,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2.0794415416798357,0.6931471805599453
1,0,12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0,4.219507705176107
1,0,12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0,4.219507705176107
0,2,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0
0,2,8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6931471805599453,0.6931471805599453
1,3,514,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,3.4011973816621555
0,0,445,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.0,4.330733340286331
1,2,833,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0986122886681098,0.6931471805599453
0,2,85,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.6931471805599453,0.0
1,0,151,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2.3978952727983707,3.4011973816621555
0,2,213,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2.1972245773362196,2.302585092994046
0,2,833,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0986122886681098,2.6390573296152584
1,2,1080,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1.0986122886681098,0.6931471805599453
1,0,54,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.0,3.784189633918261
1,2,17,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0986122886681098,0.0
0,2,833,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.6094379124341003,1.0986122886681098
1,2,17,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2.1972245773362196,0.6931471805599453
0,0,445,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.3862943611198906,5.652489180268651
1,2,17,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1.0986122886681098,1.6094379124341003
0,2,54,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2.5649493574615367,0.0
1,2,1080,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1.0986122886681098,0.6931471805599453
1,0,1080,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.0,3.784189633918261
1,2,50,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2.70805020110221,1.9459101490553132
0,0,78,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1.791759469228055,3.258096538021482
0,0,28,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0,3.332204510175204
1,0,28,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0
1,2,119,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1.791759469228055,0.6931471805599453
0,2,833,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.791759469228055,1.0986122886681098
1,2,833,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2.0794415416798357,0.6931471805599453
0,1,1694,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2.1972245773362196,2.70805020110221
1,0,50,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,4.465908118654584
1,0,833,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.0,3.7376696182833684
1,0,379,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0,4.189654742026425
0,0,128,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1.791759469228055,4.189654742026425
0,3,514,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.0,4.394449154672439
0,0,143,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0986122886681098,4.189654742026425
0,1,143,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.6931471805599453,1.9459101490553132
0,2,1080,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2.5649493574615367,2.3978952727983707
1,2,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6931471805599453,0.0
1,0,379,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.0,3.4965075614664802
0,0,44,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.6931471805599453,3.912023005428146
1,2,1080,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.6931471805599453,0.0
1,2,453,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.3862943611198906,0.6931471805599453
1,0,411,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0,3.6109179126442243
0,2,453,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.6931471805599453
0,2,453,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.6931471805599453
0,0,411,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0.0,3.6375861597263857
0,0,1080,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1.0986122886681098,3.970291913552122
1,0,411,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.0,4.6443908991413725
0,2,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2.1972245773362196,2.772588722239781
0,2,453,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2.3978952727983707,0.0
0,2,19,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1.3862943611198906,1.3862943611198906
0,2,379,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,2.0794415416798357
1,1,445,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1.9459101490553132,2.833213344056216
0,0,411,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0.0,3.6635616461296463
